"Very well constructed pet carrier. It is lightweight, but sturdy. Lots of room for larger kitties.",1,0.3333333333333333
"These Angels' Eyes presoaked textured pads for tear stains work. I have a pure white Maltese who had very dark eye stains and these wipes lightened them considerably. Once he was groomed, I have been able to keep the stains away. Keeping the stains away externally is much safer and I don't have to worry about any adverse ingredients ingested. This is the first product I have tried that has actually worked and I am very happy and the dog looks good. I paid full price for this product. This is my honest and unbiased review.",4,0.5714285714285714
Love this stuff. We use it for our pond that we made from a boat. This is a great price and the fish love it. Huge can it comes in. Here is a picture of my boat pond,2,0.4
"I was recommended to use this for my cats. Two of my cats love it and the oldest one doesn't like any brush. I did really get it for the oldest one. This brush is cut down the middle. It conforms itself to the cats body. If I'm going over a leg and one side is bigger the sides will separate so that I'm not brushing them too hard. This gets a ton of hair off of my longer haired cat which helps with hair balls for all three of them. It's kind of hard to get the hair out of the bristles. That's my only complaint. But, when I think about it all brushes are like that. I have tossed all of my other brushes and use this exclusively.",5,0.45454545454545453
helps me alert emergency responders that I have pets.,1,1.0
Cats love these treats,1,1.0
my pets love it,1,1.0
"I also reviewed this under the small version. Personally, I am not impressed with this wood at all. I was not expecting the picture, but I was expecting something with character....like the pic. I received TWO LOGS!! a sm & a md. They don't even stack on each to create anything nice. That's my opinion. Bacon disagrees. We had a plastic something in his cage, which he has NEVER used. He slithers all over these wood pieces. He was have a hard time with his shed (1st wi/us). These were exactly what he needed. Yes, I will be ordering more of these, hopefully I will get one with character the next time. But either way Bacon likes them.",6,0.4
Powerful chewers can do damage to the exterior part to this work to eat toy BUT it has held up fairly well to my dogs. It is a longer lasting treat to can keep them busy and mentally stimulated,2,0.6666666666666666
"Great dog house, arrived fast, easy to set up and pur dog loves it. She is about 20 pounds medium size. We could never had made this for what this cost and saved us time.",3,1.0
Needed a new ball for our large size ball thrower. Got a good deal during Prime day.,1,0.5
"So much room for my Green Cheek Conure! Easy to put him in and get him out. Quality is great, plenty of air circulation.",1,0.3333333333333333
This is a good brand of food and treats. My dog would have diarrhea. With this dog food he doesn't have it anymore. He's a service dog. I like the fact it's grain free. Hard to find in pet stores.,3,0.42857142857142855
I had low expectations for this but it was inexpensive and we were looking to add some places around the house for the cats to scratch so figured we would give it a shot. They seriously love this thing! They are fairly big and fat and yet they still manage to squeeze themselves on this. I find them both scratching at it and just sleeping on it. Tempted to buy a few more to put in other rooms of the house. For the price you can't beat it.,1,0.125
Survived my border collie who destroys everything. We've had it for years without needing replacement. Plus it keeps her busy for hours!,0,0.0
Dogs love the taste,1,1.0
